#UserId	ScreenName	UserName	UserCreateTime	#Followers
1423538989	hosam_1994	hosam	Sun May 12 16:33:59 2013	1
1423525682	tiikaf470	Ambroise philippe	Sun May 12 16:33:27 2013	2
1423520570	HipsterGlenn	Glenn Rabelink	Sun May 12 16:30:31 2013	3
1404311875	VaSoQ9	vaso 	Sun May 05 06:53:34 2013	11
889350984	toxiclana_	avia	Thu Oct 18 17:33:45 2012	90
1423504716	LCesinha	Cesinha	Sun May 12 16:34:13 2013	200
895454035	danielleflewis	Dani Lewis	Sun Oct 21 14:15:23 2012	2
1423508310	EmmaSmi55832617	Emma Smith 	Sun May 12 16:36:22 2013	2
67556186	mhmdazwan	Wan's Mok's 	Fri Aug 21 07:55:31 2009	500
1423508834	A09611779	Abdulsatari Caminero	Sun May 12 16:24:25 2013	2
1256224620	svet2hotlana	Svetlana	Sun Mar 10 06:09:08 2013	92
1414033261	BellZheng	Bell Zheng	Wed May 08 22:53:22 2013	15
1420756340	RivasRandi	Randi Rivas	Sat May 11 14:22:22 2013	1
1423530871	zoeyou90	zoeyou	Sun May 12 16:30:02 2013	1
1423546753	justinedelion2	justinedelion	Sun May 12 16:38:10 2013	5
210247045	Georgia3100	Georgia	Sat Oct 30 23:27:16 2010	3507
248279435	a7md_youssef	JoOo	Sun Feb 06 17:17:47 2011	13
72748945	lfprtiwi	Ulfa Pratiwi	Wed Sep 09 03:09:05 2009	2976
332839315	rozn3	rozan demirsoy	Sun Jul 10 14:25:59 2011	6
312826263	Yuliay02	Julia Belieber	Tue Jun 07 18:41:13 2011	15545
1421427097	geraldino1616	victor geraldino	Sat May 11 19:29:30 2013	10
44409004	shakira	Shakira	Wed Jun 03 17:38:07 2009	20660969
627434909	farismanggus	Faris Manggus	Thu Jul 05 14:35:15 2012	2277
1423533470	maques_15	Camila Maques	Sun May 12 16:37:21 2013	1
95736225	EmmaDavidson69	emma davidson	Wed Dec 09 21:30:07 2009	12
27260086	justinbieber	Justin Bieber	Sat Mar 28 16:41:22 2009	39017292
179470763	123kritikasahu	kritika sahu	Tue Aug 17 11:07:00 2010	0
200378292	BreannaMiller22	Breanna Miller	Sat Oct 09 04:01:47 2010	296
1423509434	kerelway	Kerel Way	Sun May 12 16:24:48 2013	1
1423507398	ludoviccusset	ludovic cusset	Sun May 12 16:35:55 2013	1
1423497162	Nandigcinakazie	nandi	Sun May 12 16:30:14 2013	1
1072221643	mariajesuscald2	maria jesus calderon	Tue Jan 08 22:45:52 2013	28
994192844	LilHashtag	Lil Hashtag	Fri Dec 07 02:05:36 2012	63
267220433	rheamonicaE	Rhea Monica Effendy	Wed Mar 16 14:47:09 2011	3767
1423530962	mylifesel	Talitha	Sun May 12 16:36:18 2013	1
838151635	ClarkEmine	Emine Clark	Fri Sep 21 16:29:07 2012	2
1423533014	skrillex24780	Skrillex	Sun May 12 16:37:23 2013	1
79293791	rihanna	Rihanna	Fri Oct 02 21:37:33 2009	29562687
1423544281	CAVALLIE13	CAVALLIE	Sun May 12 16:37:08 2013	4
743053278	kevin47298469	kevin Mora	Tue Aug 07 14:51:06 2012	5
17919972	taylorswift13	Taylor Swift	Sat Dec 06 10:10:54 2008	27644644
1421087713	IvanMercadus	Ivan Mercado	Sat May 11 16:35:42 2013	86
1413707238	yeliscarbb	yeliscar andreina	Wed May 08 20:07:43 2013	10
1413986791	ElodieSouverain	Souverain Elodie	Wed May 08 22:24:37 2013	1
1414058472	jabezkirksey	jabez kirksey	Wed May 08 23:31:20 2013	1
128795115	widyatamala	Widya Tamala	Fri Apr 02 06:12:49 2010	4850
